
📺中国央视频道,#genre#
湖北卫视,http://61.136.172.236:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://220.249.114.102:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://222.129.139.91:8888/rtp/239.3.1.138:8044
湖北卫视,http://115.60.241.249:2000/rtp/225.1.4.89:1118
湖北卫视,http://60.7.56.33:4000/rtp/239.253.92.210:6567
湖北卫视,http://111.192.0.32:4022/rtp/239.3.1.138:8044
湖北卫视,http://111.196.191.248:5555/rtp/239.3.1.138:8044
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564
黑龙江卫视,http://220.249.114.102:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://42.48.50.232:9002/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://116.128.242.83:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://218.241.192.50:8808/rtp/239.3.1.133:8016
黑龙江卫视,http://222.129.139.91:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://221.221.167.14:8888/rtp/239.3.1.133:8016
黑龙江卫视,http://60.7.56.33:4000/rtp/239.253.92.85:8016
黑龙江卫视,http://123.112.19.67:8012/rtp/239.3.1.133:8016
黑龙江卫视,http://221.221.162.225:8888/rtp/239.3.1.133:8016
安徽卫视,http://61.136.172.236:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://220.249.114.102:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://42.48.50.232:9002/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://116.128.242.83:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://60.164.128.167:8029/rtp/239.255.30.84:8231
安徽卫视,http://60.7.56.33:4000/rtp/239.253.92.209:6566
安徽卫视,http://222.129.139.91:8888/rtp/239.3.1.211:8064
安徽卫视,http://111.192.0.32:4022/rtp/239.3.1.211:8064
安徽卫视,http://115.60.241.249:2000/rtp/225.1.4.87:1116
安徽卫视,http://218.241.192.50:8808/rtp/239.3.1.211:8064
重庆卫视,http://116.128.242.83:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
